"wbic","county","waterbody.name","trtyco","trtystat","trtyprop","resstat","resprop","outarea","region","wtm91.x","wtm91.y","lat","long","lake.area","class.code","shore.length","max.depth","draintype.code","depth.below.20","depth.above.3","sand","gravel","rock","muck","drainage","drainage.ag","drainage.wild","watershed.desc","source","outlet","water.fluct","wet.adj","public.desc","wae.code","mus.code","lake.chain.code"
2049300,"buffalo","stump_lake",0,0,0,0,0,0,"wcr",359439.83,455123.71,44.55,-92.02,7,5,0.6,1,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2050900,"buffalo","duck_lake",0,0,0,0,0,0,"wcr",357253.84,448358.55,44.49,-92.04,15,5,1.2,3,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051470,"pepin","boyd_spring",0,0,NA,NA,NA,NA,"wcr",353791.43,455245.02,44.55,-92.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2053400,"pierce","nugget_lake",0,0,0,0,0,0,"wcr",345353.74,468392.64,44.66,-92.2,116,2,NA,50,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
2053900,"pepin","un_lake",0,0,0,0,0,0,"wcr",356961.94,452787.12,44.53,-92.05,4,NA,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2054200,"pepin","dead_lake",0,0,0,0,0,0,"wcr",357507.71,457996.05,44.57,-92.04,68,3,3.4,7,"dg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2054600,"pepin","silver_birch_lake",0,0,0,0,0,0,"wcr",358769.19,459952.01,44.59,-92.03,97,1,3.5,8,"dn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2054900,"pepin","wilcox_lake",0,0,0,0,0,0,"wcr",360801.81,461511.04,44.6,-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2055200,"pepin","thompson_lake",0,0,0,0,0,0,"wcr",362011.11,463079.28,44.62,-91.99,42,2,3.3,23,"sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2056600,"dunn","lake_eau_galle",2,0,0,0,0,0,"wcr",360590.85,470821.82,44.69,-92.01,351,3,7,18,"dg",2,20,80,5,5,10,5,70,30,179,0,107,2,202,0,NA,NA,NA
2059800,"pierce","george_lake",0,0,0,0,0,0,"wcr",342983.33,489403.97,44.85,-92.24,126,4,3.7,29,"dg",15,5,65,10,10,15,66,92,8,86,0,109,2,7,3.6,NA,NA,NA
2061400,"pepin","schlosser_lake",0,0,0,0,0,0,"wcr",365772,469011.77,44.67,-91.94,7,5,0.7,3,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061600,"dunn","big_lake",2,0,0,0,0,0,"wcr",368250.21,471813.82,44.7,-91.91,5,5,0.5,5,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061700,"dunn","long_lake",2,0,0,0,0,0,"wcr",368660.31,472205.57,44.7,-91.91,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
